scenario,tasks,seed,algorithm,fitness,convergence_iteration,runtime_s,evaluation_budget
2,15,202629,ACO,0.2965122494370171,17,0.3162393999518826,416
2,15,202629,DE,0.2811768086633734,25,0.1357106000650674,416
2,15,202630,IPSO,0.2926407238644073,25,0.112823799951002,416
2,15,202630,PSO,0.3180227313260275,22,0.084372500074096,416
2,15,202630,GA,0.2840456677955613,25,0.1078018998960033,416
2,15,202630,ACO,0.2881023962949749,20,0.2692207000218332,416
2,15,202630,DE,0.3116055059197265,24,0.1189645000267773,416
3,16,202601,IPSO,0.2894688229666688,25,0.101051100064069,416
3,16,202601,PSO,0.3170207623848153,14,0.128956799977459,416
3,16,202601,GA,0.2914480851601682,15,0.1014277000213041,416
3,16,202601,ACO,0.2810553425869081,16,0.2751797999953851,416
3,16,202601,DE,0.2847742043195059,25,0.1094371000071987,416
3,16,202602,IPSO,0.2761008192671131,19,0.1212429000297561,416
3,16,202602,PSO,0.2940169134887085,25,0.0676480999682098,416
3,16,202602,GA,0.2744766654222037,25,0.1468545999377966,416
3,16,202602,ACO,0.2804861874779624,12,0.3014472000068053,416
3,16,202602,DE,0.2907469103007367,25,0.1311852999497205,416
3,16,202603,IPSO,0.2883103439908721,25,0.1136712000006809,416
3,16,202603,PSO,0.2821913739496142,17,0.0902238000417128,416
3,16,202603,GA,0.26863553067389,25,0.1307528000324964,416
3,16,202603,ACO,0.2781011988269214,19,0.3251504999352619,416
3,16,202603,DE,0.2966032989583174,25,0.1317083000903949,416
3,16,202604,IPSO,0.2636558404938703,25,0.1113138999789953,416
3,16,202604,PSO,0.2674323118570357,22,0.1092670999933034,416
3,16,202604,GA,0.2731563301718119,25,0.1326619999017566,416
3,16,202604,ACO,0.2829254498975054,16,0.3133358000777662,416
3,16,202604,DE,0.316743925355695,17,0.121653699898161,416
3,16,202605,IPSO,0.2903268060306834,25,0.1086907999124378,416
3,16,202605,PSO,0.2831892975961214,21,0.0997170999180525,416
3,16,202605,GA,0.2723479299518996,25,0.1172370000276714,416
3,16,202605,ACO,0.2934551639061174,25,0.3198474999517202,416
3,16,202605,DE,0.3234275910346195,23,0.1420912999892607,416
3,16,202606,IPSO,0.2910697867612384,25,0.1097943999338895,416
3,16,202606,PSO,0.3022866423248417,25,0.100331800058484,416
3,16,202606,GA,0.2747313774153984,25,0.1295339999487623,416
3,16,202606,ACO,0.2645045528290068,23,0.3120471999282017,416
3,16,202606,DE,0.2787189167484688,25,0.1411126999882981,416
3,16,202607,IPSO,0.2772007128559121,25,0.1133410000475123,416
3,16,202607,PSO,0.2941498943324493,25,0.108675199910067,416
3,16,202607,GA,0.2938085587533048,18,0.1268136999569833,416
3,16,202607,ACO,0.2747674587161845,19,0.3258220000425353,416
3,16,202607,DE,0.2823192268913699,24,0.1420781000051647,416
3,16,202608,IPSO,0.285252994472172,25,0.120562499971129,416
3,16,202608,PSO,0.279130036299854,25,0.1126278999727219,416
3,16,202608,GA,0.2749678537374566,25,0.1263893999857828,416
3,16,202608,ACO,0.2761122770805236,19,0.3317791000008583,416
3,16,202608,DE,0.2828796062562576,24,0.1358619999373331,416
3,16,202609,IPSO,0.2877739380138598,20,0.1194553000386804,416
3,16,202609,PSO,0.2899012880604481,25,0.117456900072284,416
3,16,202609,GA,0.2779410055783107,25,0.1254438000032678,416
3,16,202609,ACO,0.2876571330364135,25,0.3355150000425055,416
3,16,202609,DE,0.2868579043724089,12,0.141490799956955,416
3,16,202610,IPSO,0.2927400981808387,12,0.1144834000151604,416
3,16,202610,PSO,0.3202219930135819,17,0.1148093999363482,416
3,16,202610,GA,0.2728978462374554,25,0.1262481000740081,416
3,16,202610,ACO,0.2823426493559638,20,0.3239588999422267,416
3,16,202610,DE,0.3121999819114747,25,0.1358224999858066,416
3,16,202611,IPSO,0.2931761784198684,19,0.1086572000058367,416
3,16,202611,PSO,0.300067881076952,25,0.1137239000527188,416
3,16,202611,GA,0.2672593344273956,18,0.1316928999731317,416
3,16,202611,ACO,0.2774695935424646,23,0.340515400050208,416
3,16,202611,DE,0.2843091928616672,16,0.1403348000021651,416
3,16,202612,IPSO,0.2925664895551244,20,0.1087685000384226,416
3,16,202612,PSO,0.265906716837311,25,0.1068842000095173,416
3,16,202612,GA,0.2792730882487559,25,0.1339769000187516,416
3,16,202612,ACO,0.2753683757553194,17,0.3260438999859616,416
3,16,202612,DE,0.319471839174564,20,0.135440899990499,416
3,16,202613,IPSO,0.2922267963568695,15,0.1166711000259965,416
3,16,202613,PSO,0.3063279191042026,25,0.1092371999984607,416
3,16,202613,GA,0.288197827672395,25,0.1202700999565422,416
3,16,202613,ACO,0.2753040878823479,25,0.3261623000726104,416
3,16,202613,DE,0.2949901495588105,22,0.1313683999469503,416
3,16,202614,IPSO,0.2923230126501586,25,0.0937482999870553,416
3,16,202614,PSO,0.261248006000771,25,0.1140372999943792,416
3,16,202614,GA,0.2804715536194977,25,0.1140268000308424,416
3,16,202614,ACO,0.2837732661772584,14,0.3318689999869093,416
